set started at 1789500437.826965 and ended at 1789500437.8269658
get started at 1789500437.8271663 and ended at 1789500437.8272307
write_back started at 1789500437.8274488 and ended at 1789500437.8276184
set started at 2026-09-16 01:03:59.537219 and ran for 7.152557373046875e-07sec
get started at 2026-09-16 01:03:59.537534 and ran for 0.0002429485321044922sec
write_back started at 2026-09-16 01:03:59.537949 and ran for 0.00016450881958007812sec
set_val started at 2026-09-16 01:42:38.811907 and ran for 9.5367431640625e-07sec
get started at 2026-09-16 01:42:38.812243 and ran for 2.1457672119140625e-06sec
write_back started at 2026-09-16 01:42:38.812395 and ran for 0.0001995563507080078sec
get started at 2026-09-16 01:42:38.812700 and ran for 1.6689300537109375e-06sec
set_val started at 2026-09-16 01:44:00.065048 and ran for 1.6689300537109375e-06sec
get started at 2026-09-16 01:44:00.065330 and ran for 3.0994415283203125e-06sec
write_back started at 2026-09-16 01:44:00.065981 and ran for 0.0006234645843505859sec
get started at 2026-09-16 01:44:00.066980 and ran for 4.5299530029296875e-06sec
set_val started at 2026-09-16 01:44:39.768929 and ran for 7.152557373046875e-07sec
get started at 2026-09-16 01:44:39.769136 and ran for 1.6689300537109375e-06sec
get started at 2026-09-16 01:44:39.769260 and ran for 1.1920928955078125e-06sec
write_back started at 2026-09-16 01:44:39.769412 and ran for 0.0001728534698486328sec
set_val started at 2026-09-16 01:45:01.215046 and ran for 9.5367431640625e-07sec
get started at 2026-09-16 01:45:01.215256 and ran for 9.5367431640625e-07sec
get started at 2026-09-16 01:45:01.215374 and ran for 7.152557373046875e-07sec
write_back started at 2026-09-16 01:45:01.215509 and ran for 0.00026226043701171875sec
set_val started at 2026-09-16 01:45:38.807488 and ran for 1.430511474609375e-06sec
get started at 2026-09-16 01:45:38.807760 and ran for 1.9073486328125e-06sec
get started at 2026-09-16 01:45:38.808058 and ran for 1.9073486328125e-06sec
write_back started at 2026-09-16 01:45:38.808267 and ran for 0.0002529621124267578sec
set_val started at 2026-09-16 01:48:42.610986 and ran for 7.152557373046875e-07sec
get started at 2026-09-16 01:48:42.611195 and ran for 1.1920928955078125e-06sec
delete_val started at 2026-09-16 01:48:42.611407 and failed due to KeyError
